product_name,price,unit,unit_price,image_name,integration_date,supermarket
Enchantimals királyi hintó,7799,Ft/szett,,enchantimals-kiralyi-hinto-2005100620594-1-5k.png,2021-11-11 15:36:06.396757,tesco
Evergreen műfenyő,9699,Ft,,evergreen-mufenyo-2005100600425-1-5k.png,2021-11-11 15:36:06.398223,tesco
Expedition Trooper távirányítós autó,21490,Ft,,expedition-trooper-taviranyitos-auto-2005100597654-1-5k.png,2021-11-11 15:36:06.399676,tesco
Extra nagy méretű állatos plüssválogatás,4699,Ft/db,,allatos-pluss-valogatas-2005100611433-1-5k.png,2021-11-11 15:36:06.400731,tesco
F&F Basics üdítőspohár,195,Ft/db,1db=195Ft,f-f-basics-uditospohar-2005112807637.png,2021-11-11 15:36:06.401766,tesco
F&F Home Basics fehér arctörlő 30 cm x 30 cm,199,Ft/db,1db=199Ft,f-f-home-basics-feher-arctorlo-30-cm-x-30-cm-2005111146829.jpg,2021-11-11 15:36:06.401766,tesco
F&F Home Basics fehér kéztörlő 50 cm x 90 cm,599,Ft/db,1db=599Ft,f-f-home-basics-feher-keztorlo-50-cm-x-90-cm-2005111146881.jpg,2021-11-11 15:36:06.402726,tesco
F&F Home Basics teamécses 100 db,899,Ft/db,1db=8.99Ft,f-f-home-basics-teamecses-100-db-2005101259867.png,2021-11-11 15:36:06.403724,tesco
Fa csocsóasztal,5599,Ft,,fa-csocsoasztal-2005100503556-1-5k.png,2021-11-11 15:36:06.403859,tesco
Fa egyensúlyozó állatok játék,3499,Ft,,fa-egyensulyozo-allatok-jatek-2005100608290-1-5k.png,2021-11-11 15:36:06.404761,tesco
Fa építő autószállító,6299,Ft/szett,,fa-epito-autoszallito-2005100608323-1-5k.png,2021-11-11 15:36:06.405758,tesco
Fa mágneses doboz,3699,Ft,,fa-farm-magneses-doboz-2005100608294-1-5k.png,2021-11-11 15:36:06.405758,tesco
Fa tusfürdő,399,Ft/db,,,2021-11-11 15:36:06.405758,tesco
Fa vonatszett,5799,Ft/szett,,fa-vonat-szett-2005100600507-1-5k.png,2021-11-11 15:36:06.405758,tesco
Fagyasztott sajtos pogácsa,879,Ft/cs,1kg=822Ft,fagyasztott-sajtos-pogacsa-2004020320807-2-5k.png,2021-11-11 15:36:06.405758,tesco
Fagyasztott túrós táska,499,Ft/cs,1db=100Ft,fagyasztott-turos-taska-2004020301015-1-5k.png,2021-11-11 15:36:06.405758,tesco
Falk pedálos traktor utánfutóval,19990,Ft,,falk-pedalos-traktor-utanfutoval-2005100425106-1-5k.png,2021-11-11 15:36:06.405758,tesco
Familia Harmónia rúd,299,Ft/10dkg,1kg=2990Ft,familia-harmonia-rud-2004120149356-1-5k.png,2021-11-11 15:36:06.405758,tesco
Favorit G12 fagyálló,599,Ft,,favorit-fagyallo-2004010668531-1-5k.png,2021-11-11 15:36:06.405758,tesco
Favourite Friends Brooke játék baba,6699,Ft/db,,favourite-friends-brooke-jatekbaba-2005100380747-1-5k.png,2021-11-11 15:36:06.414018,tesco
Fehér szőlő lédig,89,Ft/db,1kg=899Ft,feher-szolo-ledig-2004007592795.png,2021-11-11 15:36:06.414018,tesco
Félbarna kenyér 1 kg,279,Ft/db,1kg=279Ft,felbarna-kenyer-1-kg-2004008607610.png,2021-11-11 15:36:06.415410,tesco
Fémdobozos panettone,3999,Ft/db,,femdobozos-panettone-2005100429379-2-5k.png,2021-11-11 15:36:06.415410,tesco
Fémszánkó,5199,Ft,,femszanko-2005100388164-1-5k.png,2021-11-11 15:36:06.416409,tesco
Ferrero desszert-válogatás,3399,Ft,1kg=14123Ft,ferrero-collection-t24-240g-2004020303334-1-5k.png,2021-11-11 15:36:06.417442,tesco
Ferrero DieBesten Classic desszert,1259,Ft,1kg=18542Ft,diebesten-mix-t8-classic-83g-2004020277260-1-5k.png,2021-11-11 15:36:06.418041,tesco
